№ рішення,Форма судового рішення,Дата ухвалення рішення,Дата набрання законної сили,Форма судочинства,№ судової справи,Назва суду,Суддя
4136807,Ухвала,07.04.2008,,Цивільне,22ц-0987/2008,Апеляційний суд Київської області,Березовенко Р.В.
5682016,Постанова,07.04.2008,,Адміністративне,2-а-677/2008,Таращанський районний суд Київської області,Бойко М.Г.
6245975,Постанова,07.04.2008,,Адміністративне,2-а-681/2008,Таращанський районний суд Київської області,Бойко М.Г.
5719133,Рішення,07.04.2008,,Цивільне,2-131/2008,Таращанський районний суд Київської області,Василенко О.М.
1678721,Вирок,07.04.2008,,Кримінальне,1-280/2008,Білоцерківський міськрайонний суд Київської області,
1669200,Ухвала,07.04.2008,,Цивільне,2-278/2008,Макарівський районний суд Київської області,Дзюба Н.М.
1703539,Постанова,07.04.2008,,Адміністративне,2-а-3296/2008,Білоцерківський міськрайонний суд Київської області,Закаблук О.В.
1563091,Постанова,07.04.2008,,Господарське,а9/081-08,Господарський суд Київської області,Євграфова Є.П.
1744035,Ухвала,07.04.2008,,Цивільне,2-287/2008,Богуславський районний суд Київської області,Тітов М.Б.
1712307,Ухвала,07.04.2008,,Господарське,9/149-08,Господарський суд Київської області,Євграфова Є.П.
3779503,Ухвала,07.04.2008,,Цивільне,22-ц-1358/2008,Апеляційний суд Київської області,Березовенко Р.В.
6137248,Постанова,07.04.2008,,Справи про адміністративні правопорушення,3-619/2008,Володарський районний суд Київської області,Юзвик М.М.
1703512,Рішення,07.04.2008,,Цивільне,2-2248/2008,Білоцерківський міськрайонний суд Київської області,Подрєзова Г.О.
1703568,Постанова,07.04.2008,,Адміністративне,2а-4718/2008,Білоцерківський міськрайонний суд Київської області,Закаблук О.В.
1690714,Рішення,07.04.2008,,Цивільне,22ц-0666/2008,Апеляційний суд Київської області,Яворський М.А.
1808001,Рішення,07.04.2008,,Цивільне,22-ц-1171/2008,Апеляційний суд Київської області,Оношко Г.М.
1727419,Постанова,07.04.2008,,Кримінальне,1-78/2008,Білоцерківський міськрайонний суд Київської області,
1703537,Постанова,07.04.2008,,Адміністративне,2-а-3294/2008,Білоцерківський міськрайонний суд Київської області,Закаблук О.В.
5663555,Ухвала,07.04.2008,,Цивільне,2-273/2008,Обухівський районний суд Київської області,Малород О.І.
5409039,Рішення,07.04.2008,,Цивільне,2-135/2008,Таращанський районний суд Київської області,Василенко Олег Михайлович
6039349,Постанова,07.04.2008,,Адміністративне,2-а-860/2008,Таращанський районний суд Київської області,Василенко О.М.
5635925,Рішення,07.04.2008,,Цивільне,2-219/2008,Таращанський районний суд Київської області,Бабоїд О.М.
5397572,Ухвала,07.04.2008,,Цивільне,2-194/2008,Тетіївський районний суд Київської області,Кравець О.А.
5164986,Рішення,07.04.2008,,Цивільне,2-179/2008,Баришівський районний суд Київської області,Лисюк О.Д.
5872445,Рішення,07.04.2008,,Цивільне,2-о-27\08,Тетіївський районний суд Київської області,Архангельський А.М.
5939716,Рішення,07.04.2008,,Цивільне,2-183/2008,Славутицький міський суд Київської області,Орел А.С.
5164887,Постанова,07.04.2008,,Справи про адміністративні правопорушення,3-697/2008,Володарський районний суд Київської області,Юзвик М.М.
5346994,Рішення,07.04.2008,,Цивільне,2-959/08,Бориспільський міськрайонний суд Київської області,Левченко А. В.
5654572,Рішення,07.04.2008,,Цивільне,2-986/08,Бориспільський міськрайонний суд Київської області,Левченко А. В.
6006169,Рішення,07.04.2008,,Цивільне,2-774/08,Бориспільський міськрайонний суд Київської області,Левченко А. В.
6317210,Рішення,07.04.2008,,Цивільне,2-1130/08,Бориспільський міськрайонний суд Київської області,Левченко А. В.
5670989,Постанова,07.04.2008,,Адміністративне,2а-352/08,Фастівський міськрайонний суд Київської області,Науменко М.А.
